,Up Votes,Down Votes,Month,Ratings,Review,Year,Sentiment
0,889.0,64.0,Feb,4,"Nice product Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",2021,Positive
1,109.0,6.0,Feb,1,Don't waste your money They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,2021,Negative
2,42.0,3.0,Apr,1,Did not meet expectations Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,2021,Negative
5,173.0,45.0,Oct,5,Mind-blowing purchase Good quality product. Delivered on time.READ MORE,2018,Positive
6,403.0,121.0,Jan,5,Must buy! BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,2020,Positive
7,59.0,13.0,Oct,5,Classy product Good quality original shuttles.READ MORE,2018,Positive
8,14.0,1.0,Aug,5,Great product AwesomeREAD MORE,2018,Positive
9,50.0,12.0,May,5,Just wow! nice original productsREAD MORE,2018,Positive
10,57.0,16.0,Jun,5,Just wow! This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,2020,Positive
11,146.0,52.0,Sep,5,Terrific purchase Best in class....READ MORE,2016,Positive
12,142.0,53.0,Jun,5,Worth every penny it's genuine and price is less than our near by shopREAD MORE,2018,Positive
13,22.0,5.0,Mar,1,"Did not meet expectations This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",2021,Negative
14,23.0,6.0,Mar,5,Worth every penny really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,2019,Positive
15,71.0,29.0,Oct,5,Brilliant NycREAD MORE,2016,Positive
16,81.0,35.0,Feb,1,I think it is duplicate I usually buy them the same model but this did not last even for a dayREAD MORE,2018,Negative
17,5.0,0.0,May,2,"Slightly disappointed Poor quality, not originalREAD MORE",2021,Negative
