,Review,Sentiment
0,"Nice product Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",1
1,Don't waste your money They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,0
2,Did not meet expectations Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,0
5,Mind-blowing purchase Good quality product. Delivered on time.READ MORE,1
6,Must buy! BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,1
7,Classy product Good quality original shuttles.READ MORE,1
8,Great product AwesomeREAD MORE,1
9,Just wow! nice original productsREAD MORE,1
10,Just wow! This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,1
11,Terrific purchase Best in class....READ MORE,1
12,Worth every penny it's genuine and price is less than our near by shopREAD MORE,1
13,"Did not meet expectations This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",0
14,Worth every penny really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,1
15,Brilliant NycREAD MORE,1
16,I think it is duplicate I usually buy them the same model but this did not last even for a dayREAD MORE,0
17,"Slightly disappointed Poor quality, not originalREAD MORE",0
18,Super! Delivered on expected timeREAD MORE,1
19,Awesome nice and original productREAD MORE,1
20,Awesome Very nice and Good price compare then local sports.READ MORE,1
21,Highly recommended It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,1
22,Nice product superbREAD MORE,1
23,"Unsatisfactory Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",0
24,Nice product Genuine product at very reasonable price....got for Rs 630/-READ MORE,1
25,Fabulous! Good sealed Original Yonex ShuttlesREAD MORE,1
26,Not good They are not as expected...the head  portion break very soon...defective pieces..READ MORE,0
27,Good choice I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,1
28,Great product quality is pooverREAD MORE,1
29,Best in the market! good productREAD MORE,1
30,Super! Good product.....READ MORE,1
31,Very Good Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,1
35,Not good shuttle is over rotatingREAD MORE,0
36,Absolute rubbish! Very bad quality.READ MORE,0
37,Worst experience ever! Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,0
